time,sst
1923-05-01,21.774527
1923-06-01,20.62815
1923-07-01,19.685272
1923-08-01,19.175165
1923-09-01,19.17822
1923-10-01,19.981041
1923-11-01,21.040876
1923-12-01,22.205858
1924-01-01,22.756023
1924-02-01,23.04706
1924-03-01,22.920046
1924-04-01,22.38769
1924-05-01,21.643633
1924-06-01,20.599495
1924-07-01,19.83418
1924-08-01,19.436266
1924-09-01,19.703436
1924-10-01,20.31618
1924-11-01,21.03762
1924-12-01,21.821678
1925-01-01,22.654636
1925-02-01,22.757044
1925-03-01,22.64762
1925-04-01,22.011078
1925-05-01,21.295645
1925-06-01,20.53142
1925-07-01,19.667318
1925-08-01,19.04556
1925-09-01,19.202015
1925-10-01,19.861027
1925-11-01,21.030396
1925-12-01,22.306557
1926-01-01,23.000795
1926-02-01,23.102991
1926-03-01,22.902601
1926-04-01,22.437872
1926-05-01,21.450006
1926-06-01,20.364521
1926-07-01,19.721266
1926-08-01,19.311216
1926-09-01,19.51829
1926-10-01,20.295101
1926-11-01,21.128893
1926-12-01,22.151567
1927-01-01,22.64363
1927-02-01,22.791502
1927-03-01,22.756466
1927-04-01,22.25921
1927-05-01,21.404146
1927-06-01,20.47519
1927-07-01,19.702696
1927-08-01,19.287054
1927-09-01,19.490612
1927-10-01,20.318872
1927-11-01,21.480536
1927-12-01,22.439207
1928-01-01,23.183662
1928-02-01,23.29812
1928-03-01,23.20091
1928-04-01,22.69846
1928-05-01,21.500032
1928-06-01,20.481386
1928-07-01,19.810652
1928-08-01,19.514574
1928-09-01,19.657484
1928-10-01,20.260342
1928-11-01,21.38408
1928-12-01,22.406446
1929-01-01,22.790987
1929-02-01,22.948412
1929-03-01,22.784018
1929-04-01,22.269747
1929-05-01,21.246046
1929-06-01,20.16115
1929-07-01,19.132708
1929-08-01,18.87946
1929-09-01,19.07064
1929-10-01,19.793213
1929-11-01,21.03982
1929-12-01,21.795628
1930-01-01,22.250517
1930-02-01,22.746641
1930-03-01,22.776545
1930-04-01,22.389296
1930-05-01,21.585894
1930-06-01,20.489372
1930-07-01,19.724453
1930-08-01,19.296064
1930-09-01,19.46008
1930-10-01,20.288813
1930-11-01,21.090466
1930-12-01,22.04564
1931-01-01,22.75463
1931-02-01,22.984682
1931-03-01,22.944567
1931-04-01,22.462273
1931-05-01,21.688269
1931-06-01,20.60462
1931-07-01,19.748907
1931-08-01,19.444695
1931-09-01,19.676838
1931-10-01,20.245195
1931-11-01,21.31381
1931-12-01,22.374163
1932-01-01,22.929457
1932-02-01,23.298712
1932-03-01,23.206041
1932-04-01,22.575762
1932-05-01,21.654543
1932-06-01,20.647556
1932-07-01,19.722233
1932-08-01,19.27956
1932-09-01,19.468102
1932-10-01,20.111889
1932-11-01,20.980284
1932-12-01,21.86663
1933-01-01,22.766579
1933-02-01,23.042295
1933-03-01,22.90371
1933-04-01,22.431562
1933-05-01,21.479609
1933-06-01,20.529028
1933-07-01,19.967464
1933-08-01,19.384256
1933-09-01,19.718481
1933-10-01,20.430706
1933-11-01,21.227642
1933-12-01,22.195887
1934-01-01,22.7938
1934-02-01,23.162731
1934-03-01,23.117693
1934-04-01,22.706163
1934-05-01,21.670052
1934-06-01,20.709448
1934-07-01,20.03308
1934-08-01,19.542683
1934-09-01,19.741405
1934-10-01,20.508862
1934-11-01,21.645157
1934-12-01,22.284666
1935-01-01,22.777182
1935-02-01,23.025352
1935-03-01,22.981535
1935-04-01,22.41707
1935-05-01,21.562555
1935-06-01,20.568842
1935-07-01,19.6429
1935-08-01,19.17114
1935-09-01,19.553947
1935-10-01,20.149117
1935-11-01,21.077606
1935-12-01,22.12381
1936-01-01,22.780848
1936-02-01,23.08683
1936-03-01,22.986895
1936-04-01,22.52762
1936-05-01,21.50006
1936-06-01,20.494219
1936-07-01,19.738289
1936-08-01,19.525585
1936-09-01,19.711763
1936-10-01,20.4827
1936-11-01,21.422396
1936-12-01,22.033083
1937-01-01,22.450512
1937-02-01,22.760103
1937-03-01,22.606514
1937-04-01,22.3053
1937-05-01,21.607588
1937-06-01,20.72606
1937-07-01,19.861584
1937-08-01,19.585924
1937-09-01,19.722319
1937-10-01,20.380894
1937-11-01,21.373722
1937-12-01,22.264376
1938-01-01,22.841862
1938-02-01,23.107145
1938-03-01,23.162712
1938-04-01,22.848656
1938-05-01,22.022142
1938-06-01,20.97947
1938-07-01,20.191015
1938-08-01,19.771618
1938-09-01,19.848186
1938-10-01,20.650032
1938-11-01,21.62427
1938-12-01,22.225782
1939-01-01,22.706459
1939-02-01,22.83518
1939-03-01,22.881292
1939-04-01,22.736567
1939-05-01,21.717161
1939-06-01,20.675545
1939-07-01,19.794231
1939-08-01,19.537132
1939-09-01,19.713247
1939-10-01,20.284264
1939-11-01,21.100306
1939-12-01,22.23276
1940-01-01,22.65255
1940-02-01,22.779102
1940-03-01,22.692406
1940-04-01,22.470978
1940-05-01,21.393799
1940-06-01,20.32971
1940-07-01,19.825005
1940-08-01,19.466875
1940-09-01,19.702995
1940-10-01,20.163319
1940-11-01,21.242136
1940-12-01,22.18647
1941-01-01,23.103111
1941-02-01,23.142763
1941-03-01,23.110315
1941-04-01,22.898779
1941-05-01,22.02313
1941-06-01,21.317787
1941-07-01,20.195986
1941-08-01,19.678278
1941-09-01,19.879272
1941-10-01,20.598558
1941-11-01,21.316664
1941-12-01,22.506693
1942-01-01,23.200722
1942-02-01,23.355247
1942-03-01,23.202368
1942-04-01,22.936838
1942-05-01,22.314425
1942-06-01,21.190636
1942-07-01,20.17448
1942-08-01,19.8012
1942-09-01,20.245138
1942-10-01,20.808912
1942-11-01,21.591835
1942-12-01,22.674791
1943-01-01,23.026592
1943-02-01,23.123552
1943-03-01,22.946808
1943-04-01,22.494108
1943-05-01,21.642708
1943-06-01,20.732922
1943-07-01,20.006401
1943-08-01,19.66474
1943-09-01,20.135912
1943-10-01,20.660072
1943-11-01,21.722954
1943-12-01,22.614204
1944-01-01,22.983315
1944-02-01,23.141565
1944-03-01,22.873323
1944-04-01,22.382923
1944-05-01,21.63377
1944-06-01,20.698822
1944-07-01,19.838263
1944-08-01,19.43427
1944-09-01,19.738811
1944-10-01,20.535334
1944-11-01,21.54781
1944-12-01,22.25154
1945-01-01,22.941591
1945-02-01,23.289112
1945-03-01,23.115608
1945-04-01,22.635597
1945-05-01,21.953892
1945-06-01,20.900282
1945-07-01,20.195963
1945-08-01,20.047647
1945-09-01,20.453394
1945-10-01,20.865923
1945-11-01,21.773561
1945-12-01,22.859634
1946-01-01,23.558586
1946-02-01,23.491285
1946-03-01,23.559523
1946-04-01,23.224129
1946-05-01,22.138037
1946-06-01,20.445885
1946-07-01,19.610022
1946-08-01,19.128654
1946-09-01,19.267115
1946-10-01,19.924479
1946-11-01,20.925697
1946-12-01,21.804956
1947-01-01,22.677662
1947-02-01,23.073645
1947-03-01,23.043861
1947-04-01,22.663958
1947-05-01,21.677193
1947-06-01,20.447937
1947-07-01,19.884743
1947-08-01,19.620338
1947-09-01,19.525414
1947-10-01,19.96339
1947-11-01,21.065056
1947-12-01,21.939503
1948-01-01,22.755013
1948-02-01,23.195305
1948-03-01,23.010214
1948-04-01,22.484026
1948-05-01,21.278404
1948-06-01,20.198414
1948-07-01,19.547346
1948-08-01,19.230177
1948-09-01,19.309713
1948-10-01,20.023653
1948-11-01,20.899908
1948-12-01,21.665358
1949-01-01,22.45256
1949-02-01,22.613049
1949-03-01,22.623583
1949-04-01,21.995867
1949-05-01,21.121363
1949-06-01,20.290154
1949-07-01,19.586847
1949-08-01,19.251358
1949-09-01,19.579365
1949-10-01,20.168123
1949-11-01,21.26224
1949-12-01,22.09316
1950-01-01,22.713524
1950-02-01,23.143156
1950-03-01,23.108658
1950-04-01,22.76258
1950-05-01,22.014948
1950-06-01,21.139183
1950-07-01,20.223288
1950-08-01,19.985106
1950-09-01,20.019129
1950-10-01,20.58924
1950-11-01,21.427359
1950-12-01,22.06383
1951-01-01,22.874187
